"id","verb1","verb2","verb4","verb6","perfo1","perfo2","perfo4","perfo6","info1","comp1","simu1","voca1","info6","comp6","simu6","voca6","momed","grad","constant"
102,20.76,21.07,39.81,48.07,30.54,39.83,57.85,70.41,22.976,26.913,17.474,25.424,58.69,49.872,55.74,45.513,11.5,0,1
103,20.51,26.41,35.88,42.2,11.56,24.6,36.16,55.93,17.701,25.739,19.15,23.922,38.391,40.517,45.012,52.371,14,1,1
104,16.59,25.06,28.07,33.94,9.49,17.45,26.43,32.68,14.561,25.752,15.038,14.671,39.123,40.789,30.075,33.092,11.5,0,1
105,3.33,5.95,12.6,17.35,3.76,18.43,25.07,26.21,3.69,0.255,0.255,10.134,25.119,15.561,15.561,18.17,11.5,0,1
106,10.4,16.77,24.48,33.41,8.9,18.5,29.46,40.61,7.619,8.801,5.23,11.741,36.19,31.76,28.189,35.848,5.5,0,1
107,12.07,21.76,26.29,36.28,11.12,15.11,32.66,41.24,13.81,3.699,9.184,11.205,42.381,38.138,24.49,36.652,5.5,0,1
108,18.41,21.55,29.27,41.58,13.24,14.35,31.27,47.59,17.738,25.638,11.735,21.83,49.881,44.77,42.347,39.241,5.5,0,1
109,20.04,23.33,33.35,34.81,19.83,41.13,38.95,49.17,18.363,28.571,17.105,11.996,42.924,28.571,28.383,38.311,11.5,0,1
110,19.55,25.73,33.79,35.46,18.96,14.85,34.64,44.53,19.123,24.248,9.586,21.908,36.667,39.286,32.143,33.75,11.5,0,1
111,19.32,22.8,34.57,36.96,11.09,29.02,35.31,38.9,15.238,31.888,16.071,19.107,43.81,28.061,42.857,43.214,11.5,0,1
112,17.51,18.59,21.53,32.53,8.51,17.38,35.9,43.3,15.497,24.499,5.388,20.461,33.041,32.018,31.704,32.303,11.5,0,1
113,24,26.64,35.33,39.61,27.73,35.38,52.44,55.22,25.417,27.615,20.408,28.147,50.417,16.135,51.02,50.915,11.5,0,1
114,21.98,24.78,36.24,49.99,28.66,38.61,51.17,58.79,14.702,27.232,20.472,19.509,53.988,54.018,39.605,54.33,14,1,1
115,30.8,35.07,51.34,72.59,30.36,41.56,58.59,61.57,25.614,32.895,20.614,29.43,78.246,66.729,73.246,66.272,11.5,0,1
116,16.89,30.13,33.93,44.67,19.1,38.46,37.86,63.9,15.731,20.677,9.336,17.917,43.801,43.233,50.689,42.917,11.5,0,1
117,19.26,28.68,36.31,46.86,14.01,34.68,39.06,55.63,15.333,31.364,9.675,16.636,55.333,54.74,40.844,42.545,9.5,0,1
118,29.08,28.04,37.4,46.26,15.28,19.82,25.77,35.9,26.131,42.474,11.99,32.031,36.845,50.128,57.908,41.406,5.5,0,1
119,22.59,32.49,41.73,47.53,27.86,41.91,48.95,50.75,18.333,27.041,12.5,25.357,43.333,50,39.286,57.5,11.5,0,1
120,13.21,24.42,29.82,64.09,12.69,32.88,41.49,69.14,16.322,3.448,6.034,13.017,71.494,58.867,76.232,42.759,9.5,0,1
121,19.93,25.13,30.97,34.84,3.38,10.6,29.19,43.81,15.263,12.531,24.499,23.224,36.316,38.847,32.018,31.118,5.5,0,1
122,14.23,15.89,27.22,39.08,12.98,17.47,41.03,51.74,13.333,21.429,7.143,15,38.333,48.214,37.755,39.107,9.5,0,1
123,22.74,35.61,43.13,53.69,27.56,39.19,46.66,57.84,30.69,27.155,17.057,26.724,78.966,53.017,50.308,47.414,14,1,1
124,19.08,27.13,36.28,54.66,27.12,32.59,49.73,56.83,17.368,21.867,11.654,27.917,59.474,48.183,68.045,52.917,11.5,0,1
125,21.73,30,43.04,60.89,19.48,42.17,57.6,77.19,18.182,19.805,1.948,32.727,80,39.286,64.286,60,11.5,0,1
126,26.93,30.24,47.1,64.75,23.53,39.49,47.67,57.37,30.175,34.649,25.501,30.68,72.281,64.724,74.373,68.838,14,1,1
127,22.5,29.82,33.3,48.9,22.76,36.68,39.13,72.35,17.963,27.183,20.238,18.75,58.704,54.96,44.048,43.75,11.5,0,1
128,19.45,21.55,25.36,42.59,14.8,18.74,36.75,60.12,21.287,18.358,10.338,16.447,38.83,44.674,44.173,36.184,8,0,1
129,17.1,23.21,35.15,44.18,7.71,21.19,33.61,46.28,22.488,19.989,15.885,18.116,52.338,45.576,35.075,40.504,11.5,0,1
130,16.52,17.05,31.9,33.78,9.29,10.78,21.6,35.15,21.429,16.582,15.816,19.643,35.714,39.541,31.122,41.071,9.5,0,1
131,23.08,26.16,35.15,52.83,22.37,16.82,35.6,45.87,23.216,30.451,27.82,21.272,61.813,53.008,61.654,51.535,14,1,1
132,20.27,20.92,37.59,48.21,14.35,31.75,39.57,59.37,27.857,15.179,6.505,19.554,49.286,41.964,48.597,49.018,11.5,0,1
133,26.5,30.95,40.1,55.68,27.02,44.08,39.68,61.34,32.749,20.802,24.624,25.789,67.836,58.396,47.18,53.421,14,1,1
134,26.74,29.49,42.22,43.51,17.04,29.61,44.31,55.74,22.083,30.166,32.781,27.924,47.083,49.298,40.434,48.013,14,1,1
135,20.71,28.29,33.57,46.88,21.54,31.06,34.72,64.5,15.789,26.566,8.271,17.544,47.368,41.604,53.383,35.965,11.5,0,1
136,21.7,23.07,24.88,35.67,13.59,25.71,38.47,38.98,19.107,23.406,13.01,26.272,29.821,42.538,28.316,41.004,11.5,0,1
137,21.28,27.46,28.81,45.77,19.5,28.36,39.45,50.25,19.713,13.978,16.441,19.784,43.851,39.84,49.692,37.888,11.5,0,1
138,17.08,22.16,31.85,43.72,7.82,22.75,25.91,53.31,20.417,9.375,8.036,17.188,45.417,51.467,30.995,41.295,9.5,0,1
139,18.99,27.32,25.52,41.79,25.79,30.98,42.43,50.09,17.5,21.939,18.878,20.893,42.5,37.245,49.49,47.679,11.5,0,1
140,26.74,37.29,44.11,53.57,36.36,57.12,66.49,78.71,17.414,41.933,14.163,24.203,48.448,53.017,58.498,48.772,11.5,0,1
141,17.1,19.7,25.64,39.29,17.8,29.75,52.15,53.42,17.5,22.768,3.125,13.906,38.929,41.901,37.564,33.996,11.5,0,1
142,13.79,15.25,23.78,31.47,12.15,23.64,30.36,41.4,20,10.714,10.714,13.75,41.429,26.02,33.673,29.821,9.5,0,1
143,14.82,34.32,35.19,46.19,28.37,45.08,47.85,60.24,19.226,6.314,6.952,24.554,65.655,56.059,18.431,51.339,14,1,1
144,13.85,25.19,23.57,31.85,6.41,16.89,17.46,38.76,17.738,15.242,11.671,14.621,39.167,34.375,30.804,32.031,11.5,0,1
145,10.71,21.7,27.26,35.36,16.21,26.58,40.96,45.96,7.368,4.323,8.835,13.684,38.947,38.158,31.391,29.474,5.5,0,1
146,20.18,27.16,33.35,50.25,23.81,39.28,32.88,55.65,20,25,10.714,25,54.483,47.167,51.355,52.155,14,1,1
147,32.6,39.85,42.62,54.64,20.42,37.43,46.02,65.81,25.497,42.356,31.642,27.829,60.585,57.393,46.679,55.461,14,1,1
148,18.39,21.03,35.48,36.46,17.75,25.99,37.58,43.34,19.532,20.802,6.14,24.561,33.567,39.599,36.216,37.719,11.5,0,1
149,9.97,16.79,21.74,19.06,12.71,24.07,31.44,30.54,16.901,7.206,3.759,12.654,30.936,10.965,15.038,21.864,9.5,0,1
150,19.35,25.98,32.8,40.1,18.56,19.14,34.42,52.48,26.31,21.046,13.967,14.576,47.738,44.005,33.099,40.022,9.5,0,1
151,20.76,27.05,34,49.12,33.47,35.74,52.29,58.74,18.571,19.707,16.135,22.545,47.143,54.145,50.574,46.652,14,1,1
152,24.15,24.26,33.14,52.25,28.16,37,43.64,61.97,30.468,25.627,18.296,24.189,58.538,63.221,44.612,50.504,14,1,1
153,22.29,26.15,31,47.11,22.64,30.77,46.94,65.24,17.184,22.044,28.633,23.017,48.218,58.99,32.328,54.052,11.5,0,1
154,28.33,32.5,44.08,61.46,31.49,33.12,45.13,59.88,31.754,30.639,15.414,28.553,63.333,60.714,64.286,57.5,14,1,1
155,16.37,25.98,30.74,37.59,7.73,19.52,42.36,43.33,15.238,15.816,18.878,21.607,43.81,38.776,34.184,45.714,11.5,0,1
156,15.06,16.68,27.35,34.61,15.26,25.57,32.14,48.06,18.81,15.306,15.816,15.893,50.952,30.612,38.776,29.286,5.5,0,1
157,10.09,17.74,17.14,21.28,2.42,8.14,17.77,23.99,10.476,14.413,4.209,12.857,24.762,18.24,23.342,23.571,11.5,0,1
158,18.36,12.96,26.55,29.48,17,20.27,39.03,57.11,16.667,25,14.286,17.5,38.095,17.347,33.418,32.232,5.5,0,1
159,13.13,17.04,23.63,22.84,0,7.83,7.81,10.26,12.083,21.747,4.528,17.612,37.083,25.574,16.008,18.951,8,0,1
160,18.41,23.05,35.13,47.41,21.52,33.31,41.34,55.8,11.345,18.358,11.654,18.026,56.959,44.674,34.211,45.658,14,1,1
161,15.95,30.13,32.63,43.44,17.66,25.43,44.15,57.27,16.257,13.596,17.356,14.671,40.819,54.95,47.431,34.408,11.5,0,1
162,6.59,18.51,28.56,31.06,9.01,17.84,35.15,47.82,3.869,11.161,3.89,9.196,36.012,37.946,23.023,35.982,11.5,0,1
163,18.14,26.92,37.11,54.33,14.97,18.74,35.99,51.9,17.251,22.118,11.278,24.452,52.339,63.471,45.113,66.557,11.5,0,1
164,21.65,24.73,28.79,42.78,22.36,30.84,46.37,65.33,21.429,25.765,19.388,24.554,50,41.071,50,40.625,11.5,0,1
165,16,20.6,26.29,38.81,16.2,15.86,29.89,38.93,15.576,8.961,16.883,17.591,37.394,44.026,36.364,40.773,5.5,0,1
166,18.94,17.08,24.84,29.35,13.26,20.43,31.05,45,15.789,20.489,20.802,15.044,26.316,31.767,28.321,29.518,8,0,1
167,18.36,30.46,28.42,41.28,21.95,18.69,37.75,40.67,16.667,21.429,17.857,17.5,34.524,55.867,36.99,44.286,11.5,0,1
168,16.52,18.14,27.65,34.78,10.06,21.88,38.39,53.83,21.754,16.479,15.539,18.706,42.807,42.794,30.576,33.18,9.5,0,1
169,19.54,26.32,30.74,40.58,14.35,20.18,21.34,41.99,23.333,17.857,10.714,26.25,40.575,32.635,47.66,44.353,9.5,0,1
170,28.42,28.66,39.91,43.62,24.36,32.06,47.95,49.76,22.865,46.491,21.053,22.215,50.936,42.732,43.609,39.32,11.5,0,1
171,29.36,32.14,41.41,56.16,25.3,22.63,24.04,36.82,20.06,38.648,25.702,23.46,59.345,46.301,60.14,56.942,11.5,0,1
172,13.11,18.35,18.54,38.65,11.61,27.77,42.38,59.33,15.476,16.071,5.867,22.321,47.619,42.857,40.306,38.393,11.5,0,1
173,26.64,26.09,34.36,44.39,25.56,37.5,37.4,67.06,24.54,37.007,24.815,23.858,48.678,62.869,21.121,51.013,14,1,1
174,23.59,26.52,29.42,41.86,22.6,35.64,44.43,46.84,27.241,32.389,15.64,21.595,44.483,39.778,56.281,31.94,14,1,1
175,31.12,28.23,35.86,59.05,30.34,33.94,48.74,64.75,32.339,37.218,27.506,35.241,67.427,59.774,65.1,57.61,11.5,0,1
176,20.03,20.7,30.13,33.72,9.21,15.09,24.48,30.23,21.93,20.677,16.353,15.395,35.965,28.195,31.391,36.447,9.5,0,1
177,8.66,17.35,27.56,28.18,13.7,20.33,30.73,31.8,11.871,5.576,4.825,17.851,39.942,35.652,23.622,23.114,8,0,1
178,15.33,23.02,33.62,44.58,10.78,21.68,32.37,51.79,19.94,19.133,16.837,15.848,59.226,34.439,47.449,56.027,14,1,1
179,12.43,19.2,27.11,37.74,15.34,20.81,30.29,42.74,18.218,4.68,12.192,19.849,49.253,26.847,41.749,41.832,14,1,1
180,23.18,33.75,46.77,66.61,20.07,37.75,49.73,63,15.893,27.615,24.298,21.83,62.321,85.013,66.39,62.009,11.5,0,1
181,26.71,24.52,31.47,55.8,22.02,24.61,36.49,39.73,28.421,33.459,16.353,34.737,63.509,59.774,57.707,54.474,18,1,1
182,27.56,33.48,40.09,58.82,20.19,30.53,39.88,48.74,28.596,33.647,22.932,31.645,67.193,63.722,53.008,64.539,18,1,1
183,15.46,22.51,32.05,39.12,12.08,21.49,47.33,51.38,15.952,9.439,9.949,23.125,37.381,47.704,32.908,41.875,11.5,0,1
184,21.4,29.72,36.61,69.52,46.58,55.74,64.99,86.65,10.46,20.936,15.148,19.138,72.529,61.576,77.956,52.759,14,1,1
185,17.16,16.92,28.66,34.94,14.65,25.2,41.09,46.42,15.774,9.184,24.617,15.246,33.631,39.796,32.27,35.335,5.5,0,1
186,20.65,26.71,33.66,57.68,14.5,48.12,58.29,66.1,24.943,15.887,25.862,21.034,73.218,63.916,51.724,52.069,14,1,1
187,22.1,29.69,38.42,55.24,19.82,33.78,51.07,68.95,31.839,27.463,10.345,27.888,59.425,64.409,58.374,52.457,14,1,1
188,14.75,20.65,27.13,38.9,12.68,24.52,34.86,45.43,14.561,13.033,12.531,12.083,46.14,31.83,38.847,37.083,11.5,0,1
189,30.86,32.46,40.77,56.37,36.22,44.3,53.24,70.96,24.702,38.712,23.278,31.295,63.988,50.191,57.717,55.402,14,1,1
190,22.44,38.14,38.75,55.83,18.57,28.54,34.71,43.84,22.242,19.091,23.052,18.091,44.061,65.844,62.013,56.273,11.5,0,1
191,15.48,32.16,34.49,51.18,19.9,31.26,40.19,50.58,24.503,19.612,11.09,11.711,59.591,72.243,22.368,63.026,14,1,1
192,26.58,25.33,36.03,40.27,7.36,12.12,17.63,23.35,26.905,32.398,25.128,22.857,41.19,47.704,32.781,44.286,11.5,0,1
193,18.51,19.15,31.58,39.12,16.78,18.89,37.21,38.43,23.571,21.684,14.796,15.469,37.857,36.99,45.408,43.594,5.5,0,1
194,17.72,25.36,31.56,38.24,11.15,15.22,37.06,46.42,23.571,20.153,14.668,21.295,59.286,43.112,18.495,46.741,11.5,0,1
195,6.1,20.57,21.68,40.95,4.71,12.15,22.34,28.76,14.561,2.256,5.451,9.474,39.123,47.368,43.045,48.947,8,0,1
196,20.03,27.25,30.01,39.46,15.91,29.21,38.22,54.73,24.762,22.385,18.431,18.705,53.333,41.518,29.911,42.813,9.5,0,1
197,19.2,28.1,24.64,34.26,15.09,31.77,41.26,52.25,19.138,20.32,17.488,16.724,36.379,42.488,24.877,32.241,9.5,0,1
198,20.71,26.88,29.42,48.68,19.99,39.78,43.51,58.82,20.643,28.947,14.724,20.504,59.24,51.504,41.04,50.768,11.5,0,1
199,32.23,30.68,37.13,60.83,22.21,29.63,38.24,64.31,27.661,37.531,30.138,25.57,62.749,63.847,60.213,54.518,14,1,1
200,22.49,34.63,36.7,43.33,31.45,59.58,75.61,89.01,19.048,3.571,34.694,20.714,51.19,30.357,42.347,43.482,14,1,1
201,22.23,28.04,37.38,48.9,17.22,22.92,32.07,46.83,17.619,30.548,11.416,19.821,46.19,49.681,45.855,51.964,11.5,0,1
202,15.77,23.96,26.76,36.67,11.14,24.38,36.12,38.11,15.576,9.545,8.961,24.455,37.394,32.922,44.026,35.364,8,0,1
203,24.27,29.66,37.22,50.88,18.86,37.38,35.3,52.63,21.152,35.714,10.909,21.568,53.879,35.714,61.558,54.295,11.5,0,1
204,24.29,30.34,35.25,54.54,25.99,33.18,32.27,61.14,20,35.714,21.429,20,45.455,59.091,75.974,48.636,14,1,1
